# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.4911	1.6032	0.2589
1.5165	1.6153	0.2589
1.5508	1.6149	0.2589
1.5069	1.6074	0.2589
1.5958	1.6139	0.2589
1.759	1.6519	0.2589
1.5678	1.6178	0.2589
1.5465	1.6107	0.2589
1.6787	1.6322	0.2589
1.6347	1.621	0.2589
1.6011	1.6132	0.2589
1.7065	1.6327	0.2589
1.5241	1.6113	0.2589
1.5387	1.6111	0.2589
1.7039	1.6296	0.2589
1.4722	1.6062	0.2577
1.4873	1.6077	0.2577
1.5435	1.6113	0.2577
1.7186	1.6338	0.2577
1.4988	1.6058	0.2577
1.5099	1.604	0.2577
1.4795	1.6061	0.2577
1.489	1.6039	0.2577
1.6375	1.6213	0.2577
1.5251	1.6104	0.2577
