# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# daughter	initD	rejuvenation
12.0	0.1448	0.7262
23.0	0.2009	0.7262
6.0	0.1215	0.7262
5.0	0.1066	0.7262
12.0	0.1399	0.7262
2.0	0.0867	0.7262
17.0	0.1895	0.7262
12.0	0.1585	0.7262
12.0	0.1474	0.7262
7.0	0.1254	0.7262
15.0	0.1582	0.7262
17.0	0.169	0.7262
5.0	0.1065	0.7262
6.0	0.1204	0.7261
16.0	0.1736	0.7261
10.0	0.1361	0.7261
6.0	0.1121	0.7261
16.0	0.1644	0.7261
9.0	0.1467	0.7261
5.0	0.1146	0.7261
9.0	0.134	0.7261
8.0	0.1349	0.7261
6.0	0.1139	0.7261
4.0	0.1031	0.7261
12.0	0.1488	0.7261
14.0	0.1741	0.7261
18.0	0.1817	0.7261
20.0	0.1885	0.7261
2.0	0.0815	0.7261
11.0	0.1496	0.7261
5.0	0.108	0.7261
1.0	0.0713	0.726
6.0	0.1201	0.726
2.0	0.072	0.726
13.0	0.1547	0.726
2.0	0.0679	0.726
10.0	0.1409	0.726
15.0	0.1845	0.726
4.0	0.1043	0.726
15.0	0.1814	0.726
1.0	0.0561	0.726
8.0	0.1361	0.726
2.0	0.0684	0.726
14.0	0.1527	0.726
1.0	0.0779	0.726
15.0	0.1659	0.726
9.0	0.1338	0.7258
6.0	0.1127	0.7258
8.0	0.132	0.7258
7.0	0.1234	0.7258
12.0	0.1533	0.7258
16.0	0.1718	0.7258
6.0	0.1232	0.7258
10.0	0.1389	0.7258
7.0	0.1261	0.7258
11.0	0.1524	0.7258
19.0	0.1854	0.7258
9.0	0.1421	0.7258
3.0	0.0823	0.7258
17.0	0.1768	0.7258
7.0	0.1247	0.7258
17.0	0.1635	0.7258
2.0	0.0887	0.7258
3.0	0.0868	0.7258
19.0	0.1885	0.7258
18.0	0.1771	0.7258
2.0	0.0838	0.7258
5.0	0.1134	0.7258
11.0	0.1441	0.7258
3.0	0.0864	0.7258
17.0	0.1727	0.7258
9.0	0.1393	0.7258
17.0	0.1766	0.7258
10.0	0.1461	0.7258
13.0	0.1576	0.7258
10.0	0.1371	0.7258
12.0	0.156	0.7258
16.0	0.1744	0.7258
8.0	0.1301	0.7258
3.0	0.0832	0.7258
15.0	0.1571	0.7258
9.0	0.1328	0.7258
8.0	0.1308	0.7258
3.0	0.0914	0.7254
6.0	0.1148	0.7254
6.0	0.1162	0.7254
11.0	0.1423	0.7254
13.0	0.1601	0.7254
14.0	0.1633	0.7254
14.0	0.1711	0.7254
14.0	0.1622	0.7254
23.0	0.1878	0.7254
15.0	0.1708	0.7254
13.0	0.1611	0.7254
15.0	0.1956	0.7254
7.0	0.1267	0.7254
10.0	0.1453	0.7254
12.0	0.1503	0.7254
7.0	0.1308	0.7254
6.0	0.1098	0.7235
12.0	0.1537	0.7235
13.0	0.158	0.7235
20.0	0.1916	0.7235
3.0	0.0834	0.7235
3.0	0.0904	0.7235
10.0	0.1409	0.7235
17.0	0.1803	0.7235
14.0	0.1602	0.7235
25.0	0.1797	0.7235
14.0	0.1564	0.7235
11.0	0.1482	0.7235
17.0	0.1682	0.7235
22.0	0.192	0.7235
13.0	0.1586	0.7235
12.0	0.1487	0.7235
21.0	0.2132	0.6818
10.0	0.1454	0.6818
15.0	0.1663	0.6818
9.0	0.1465	0.6818
7.0	0.1321	0.6818
16.0	0.1662	0.6818
7.0	0.131	0.6818
12.0	0.1506	0.6818
8.0	0.1368	0.6818
10.0	0.1451	0.6818
15.0	0.1576	0.6818
1.0	0.0791	0.6818
2.0	0.0858	0.6818
11.0	0.1568	0.6818
15.0	0.1861	0.6818
3.0	0.094	0.6818
18.0	0.1934	0.6818
7.0	0.1295	0.6818
19.0	0.1906	0.6818
2.0	0.0738	0.6818
4.0	0.1101	0.6818
7.0	0.1244	0.6818
7.0	0.126	0.6818
6.0	0.1222	0.6818
8.0	0.1364	0.6818
15.0	0.1836	0.6818
7.0	0.1226	0.6818
1.0	0.0701	0.6818
26.0	0.1864	0.6818
7.0	0.128	0.6815
14.0	0.1561	0.6815
10.0	0.1401	0.6815
8.0	0.1374	0.6815
11.0	0.1508	0.6815
4.0	0.1075	0.6815
23.0	0.1986	0.6815
5.0	0.1062	0.6815
1.0	0.0738	0.6815
8.0	0.1374	0.6815
6.0	0.1171	0.6815
5.0	0.1213	0.6815
19.0	0.1813	0.6815
16.0	0.1717	0.6815
